valuation,Rating year,Location,Suburb,Town/City,Total Rates
1486151800,2018,"""233 Waitohu Valley Road, Otaki""",,,2124.74
1486152000,2018,"""153 Ringawhati Road, Otaki""",,,2508.18
1486152100,2018,"""277 Waitohu Valley Road, Otaki""",,,1374.51
1486152500,2018,"""Ringawhati Road, Otaki""",,,0
1486152600,2018,"""169 Ringawhati Road, Otaki""",,,1824.04
1486152601,2018,"""155 Ringawhati Road, Otaki""",,,1660.17
1486152700,2018,"""149 Ringawhati Road, Otaki""",,,3091.25
1486152800,2018,"""151 Ringawhati Road, Otaki""",,,2304.99
1486153000,2018,"""135 Ringawhati Road, Otaki""",,,3193.24
1486153100,2018,"""131,133 Ringawhati Road, Otaki""",,,2318.41
1486153500,2018,"""119 Ringawhati Road, Otaki""",,,3771.42
1486153600,2018,"""101 Ringawhati Road, Otaki""",,,3063.18
1486153700,2018,"""93 Ringawhati Road, Otaki""",,,4524.86
1486154000,2018,"""91A Ringawhati Road, Otaki""",,,3408.64
1486154001,2018,"""91B Ringawhati Road, Otaki""",,,2296.71
1486154100,2018,"""89 Ringawhati Road, Otaki""",,,2566.86
1486154200,2018,"""87 Ringawhati Road, Otaki""",,,3580.51
1486154500,2018,"""73,77 Ringawhati Road, Otaki""",,,3027.44
1486154600,2018,"""61 Ringawhati Road, Otaki""",,,3017.28
1486154700,2018,"""57 Ringawhati Road, Otaki""",,,2955.45
1486154800,2018,"""35 Ringawhati Road, Otaki""",,,2667.81
1486154900,2018,"""45 Ringawhati Road, Otaki""",,,2893.12
1486155000,2018,"""17,31 Ringawhati Road, Otaki""",,,4030.27
1486155500,2018,"""202 Rahui Road, Otaki""",,,4367.13
1486155600,2018,"""196 Rahui Road, Otaki""",,,9298.53
1486155700,2018,"""186 Rahui Road, Otaki""",,,3771.06
1486155800,2018,"""146 Rahui Road, Otaki""",,,2546.82
1486155900,2018,"""134 Rahui Road, Otaki""",,,382.74
1486156000,2018,"""134-140 Rahui Road, Otaki""",,,2361.25
1486156500,2018,"""62 Te Roto Road, Otaki""",,,1814.03
1486156501,2018,"""Te Roto Road, Otaki""",,,0
1486156600,2018,"""60A Te Roto Road, Otaki""",,,1769.55
1486156601,2018,"""Te Roto Road, Otaki""",,,3150
1486156700,2018,"""60 Te Roto Road, Otaki""",,,1574.01
1486157700,2018,"""72 Te Roto Road, Otaki""",,,3004
1486157800,2018,"""Te Roto Road, Otaki""",,,1816.03
1486158000,2018,"""Te Roto Road, Otaki""",,,0
1486158400,2018,"""64 Te Roto Road, Otaki""",,,1533.57
1486158500,2018,"""61 Te Roto Road, Otaki""",,,12516.19
1486158501,2018,"""Te Roto Road, Otaki""",,,1792.51
1486158502,2018,"""Te Roto Road, Otaki""",,,0
1486158600,2018,"""143 Rahui Road, Otaki""",,,36577.26
1486158700,2018,"""55 Te Roto Road, Otaki""",,,1635.7
1486159000,2018,"""197 Rahui Road, Otaki""",,,6186.94
1486159001,2018,"""197 Rahui Road, Otaki""",,,0
1486159100,2018,"""Rahui Road, Otaki""",,,0
1486159200,2018,"""261,263,265 Rahui Road, Otaki""",,,9177.42
1486170000,2018,"""Waitohu Valley Road, Otaki""",,,907.84
1486170100,2018,"""Waitohu Valley Road, Otaki""",,,43.4
1486170500,2018,"""Waitohu Valley Road, Otaki""",,,2197.35
1486170501,2018,"""347 Waitohu Valley Road, Otaki""",,,1466.52
1486170502,2018,"""351 Waitohu Valley Road, Otaki""",,,3329.61
1486170503,2018,"""Waitohu Valley Road, Otaki""",,,0
1486170504,2018,"""Waitohu Valley Road, Otaki""",,,0
1486170600,2018,"""353 Waitohu Valley Road, Otaki""",,,2577.19
1486170800,2018,"""Waitohu Valley Road, Otaki""",,,1773.6
1486170900,2018,"""303 Waitohu Valley Road, Otaki""",,,3403.28
